,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,467,12,4,13,0,0
WALKING_UPSTAIRS,6,449,6,10,0,0
WALKING_DOWNSTAIRS,3,1,415,1,0,0
SITTING,0,5,0,415,69,2
STANDING,0,1,0,20,511,0
LAYING,0,0,0,0,0,537
